.	O
Hamba	B-MUS
sahaya	I-MUS
,	O
budak	O
yang	O
ingin	O
memerdekakan	O
dirinya	O
.	O
6	O
.	O
Gharimin	B-MUS
,	O
mereka	O
yang	O
berhutang	O
untuk	O
kebutuhan	O
hidup	O
dalam	O
mempertahankan	O
jiwa	O
dan	O
izzahnya	O
.	O
7	O
.	O
Fisabilillah	B-MUS
,	O
mereka	O
yang	O
berjuang	O
di	O
jalan	O
Allah	O
dalam	O
bentuk	O
kegiatan	O
dakwah	O
,	O
jihad	O
dan	O
sebagainya	O
.	O
8	O
.	O
Ibnu	B-MUS
Sabil	I-MUS
,	O
mereka	O
yang	O
kehabisan	O
biaya	O
di	O
perjalanan	O
dalam	O
ketaatan	O
kepada	O
Allah	O
.	O
Jenis	O
Zakat	O
Secara	O
umum	O
zakat	O
terbagi	O
menjadi	O
dua	O
jenis	O
,	O
yakni	O
zakat	B-ZAK
fitrah	I-ZAK
dan	O
zakat	O
maal	O
.	O
Zakat	B-ZAK
Fitrah	I-ZAK
(	O
zakat	B-ZAK
al-fitr	I-ZAK
)	O
adalah	O
zakat	O
yang	O
diwajibkan	O
atas	O
setiap	O
jiwa	O
baik	O
lelaki	O
dan	O
perempuan	O
muslim	O
yang	O
dilakukan	O
pada	O
bulan	B-HAU
Ramadhan	I-HAU
.	O
Zakat	O
maal	O
adalah	O
zakat	O
harta	O
yang	O
dikenakan	O
atas	O
uang	B-HAR
,	O
emas	B-MET
,	O
surat	B-HAR
berharga	I-HAR
,	O
dan	O
aset	O
yang	O
disewakan	O
(	O
Al	O
Qur	O
`	O
an	O
Surah	O
At	O
Taubah	O
ayat	O
103	O
,	O
Peraturan	B-REG
Menteri	I-REG
Agama	I-REG
No	I-REG
52/2014	I-REG
dan	O
pendapat	O
Shaikh	B-PER
Yusuf	I-PER
Qardawi	I-PER
)	O
.	O
Secara	O
lebih	O
rinci	O
,	O
zakat	O
maal	O
ini	O
memiliki	O
jenis	O
zakat	O
lainnya	O
seperti	O
;	O
1	O
.	O
Zakat	B-MAL
penghasilan	I-MAL
Zakat	B-MAL
penghasilan	I-MAL
atau	O
yang	O
dikenal	O
juga	O
sebagai	O
zakat	O
zakat	B-MAL
profesi	I-MAL
adalah	O
bagian	O
dari	O
zakat	O
maal	O
yang	O
wajib	O
dikeluarkan	O
atas	O
harta	O
yang	O
berasal	O
dari	O
pendapatan	O
/	O
penghasilan	O
rutin	O
dari	O
pekerjaan	O
yang	O
tidak	O
melanggar	O
syariah	O
.	O
Selengkapnya	O
2	O
.	O
Zakat	B-MAL
emas	I-MAL
dan	I-MAL
perak	I-MAL
Zakat	B-MAL
emas	I-MAL
,	O
perak	I-MAL
,	O
dan	O
logam	O
mulia	O
lainnya	O
adalah	O
zakat	O
yang	O
dikenakan	O
atas	O
emas	B-MET
,	O
perak	B-MET
dan	O
logam	O
lainnya	O
yang	O
telah	O
mencapai	O
nisab	O
dan	O
haul	O
.	O
Selengkapnya	O
3	O
.	O
Zakat	B-MAL
perusahaan	I-MAL
Para	O
ulama	O
peserta	O
Muktamar	O
Internasional	O
Pertama	O
tentang	O
zakat	O
di	O
Kuwait	O
(	O
29	O
Rajab	O
1404	O
H	O
)	O
,	O
menganalogikan	O
zakat	B-MAL
perusahaan	I-MAL
kepada	O
zakat	B-MAL
perdagangan	I-MAL
.	O
Hal	O
ini	O
dikarenakan	O
,	O
jika	O
dipandang	O
dari	O
aspek	O
legal	O
dan	O
ekonomi	O
,	O
kegiatan	O
sebuah	O
perusahaan	B-ORG
intinya	O
berpijak	O
pada	O
kegiatan	O
trading	O
atau	O
perdagangan	B-PEK
.	O
Selengkapnya	O
4	O
.	O
Zakat	B-MAL
perdagangan	I-MAL
Zakat	B-MAL
perdagangan	I-MAL
adalah	O
zakat	O
yang	O
dikeluarkan	O
dari	O
harta	B-HAR
niaga	I-HAR
,	O
sedangkan	O
harta	B-HAR
niaga	I-HAR
adalah	O
harta	O
atau	O
aset	O
yang	O
diperjualbelikan	O
dengan	O
maksud	O
untuk	O
mendapatkan	O
keuntungan	O
.	O
Dengan	O
demikian	O
maka	O
dalam	O
harta	B-HAR
niaga	I-HAR
harus	O
ada	O
2	O
motivasi	O
:	O
Motivasi	O
untuk	O
berbisnis	O
(	O
diperjualbelikan	O
)	O
dan	O
motivasi	O
mendapatkan	O
keuntungan	O
.	O
Selengkapnya	O
5	O
.	O
Zakat	B-MAL
saham	I-MAL
Zakat	B-MAL
saham	I-MAL
ditetapkan	O
berdasarkan	O
kesepakatan	O
para	O
ulama	O
pada	O
Muktamar	O
Internasional	O
Pertama	O
tentang	O
zakat	O
di	O
Kuwait	O
(	O
29	O
Rajab	O
1404	O
H	O
)	O
bahwa	O
hasil	O
dari	O
keuntungan	O
investasi	B-HAR
saham	B-HAR
wajib	O
dikeluarkan	O
zakatnya	O
.	O
Selengkapnya	O
6	O
.	O
Zakat	B-MAL
reksadana	I-MAL
Zakat	B-MAL
reksadana	I-MAL
ditetapkan	O
berdasarkan	O
kesepakatan	O
para	O
ulama	O
pada	O
Muktamar	O
Internasional	O
Pertama	O
tentang	O
zakat	O
di	O
Kuwait	O
(	O
29	O
Rajab	O
1404	O
H	O
)	O
bahwa	O
hasil	O
dari	O
keuntungan	O
investasi	B-HAR
wajib	O
dikeluarkan	O
zakatnya	O
.	O
Zakat	B-MAL
reksadana	I-MAL
dapat	O
ditunaikan	O
jika	O
hasil	O
keuntungan	O
investasi	B-HAR
sudah	O
mencapai	O
nisab	O
.	O
Nisab	O
zakat	B-MAL
reksadana	I-MAL
sama	O
nilainya	O
dengan	O
nisab	O
zakat	O
maal	O
yaitu	O
senilai	O
85	B-NIS
gram	I-NIS
emas	I-NIS
dengan	O
tarif	O
zakat	O
2,5	B-TZA
%	I-TZA
dan	O
sudah	O
mencapai	O
satu	B-HAU
tahun	I-HAU
(	O
haul	O
)	O
.	O
Selengkapnya	O
7	O
.	O
Zakat	B-MAL
rikaz	I-MAL
(	O
zakat	O
dari	O
hasil	O
barang	O
temuan	B-HAR
)	I-HAR
	
8	O
.	O
Zakat	B-MAL
pertanian	I-MAL
9	O
.	O
Zakat	B-MAL
peternakan	I-MAL
10	O
.	O
Dan	O
lain	O
sebagainya	O
.	O
